month,n_comments,mean_compound,median_compound,pct_negative,pct_positive
2025-05-01,1062,0.035478342749529164,0,0.384180790960452,0.4453860640301318
2025-06-01,663,0.07682956259426839,0,0.363499245852187,0.4645550527903469
2025-07-01,415,-0.024930120481927758,0,0.42409638554216866,0.3710843373493976
2025-08-01,165,0.10197575757575764,0,0.2727272727272727,0.4666666666666667
2025-09-01,24,0.05641666666666667,0,0.3333333333333333,0.4583333333333333
2025-10-01,558,0.021387096774193533,0,0.3655913978494624,0.4390681003584229
2025-11-01,90,0.2045,0.318,0.26666666666666666,0.6444444444444445
2025-12-01,40,-0.1924,-0.128,0.525,0.3
2026-01-01,40,0.25765000000000005,0.1645,0.125,0.5
2026-02-01,304,0.23671052631578948,0.361,0.23355263157894737,0.5921052631578947
2026-03-01,5,-0.0015999999999999903,0.077,0.2,0.6
2026-04-01,278,0.2171258992805755,0.202,0.2158273381294964,0.5755395683453237
2026-05-01,571,0.04314535901926441,0,0.38704028021015763,0.46234676007005254
