month,n_posts,mean_compound,median_compound,pct_negative,pct_positive
2025-05-01,6,-0.30933333333333335,-0.387,0.6666666666666666,0.16666666666666666
2025-06-01,7,0.18857142857142856,0.126,0.42857142857142855,0.5714285714285714
2025-07-01,5,-0.1954,-0.519,0.6,0.4
2025-08-01,6,0.2535,0.6685,0.3333333333333333,0.6666666666666666
2025-09-01,1,0,0,0,0
2025-10-01,7,0.3232857142857143,0.278,0.2857142857142857,0.7142857142857143
2025-11-01,4,0.1815,0.0715,0.25,0.5
2025-12-01,2,-0.11649999999999999,-0.11649999999999999,0.5,0.5
2026-01-01,2,0.47750000000000004,0.47750000000000004,0,1
2026-02-01,4,0.3035,0.5595,0.25,0.75
2026-04-01,3,0.5906666666666667,0.811,0,0.6666666666666666
2026-05-01,3,0.016666666666666684,-0.402,0.6666666666666666,0.3333333333333333
